record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
43072,86011228,Arctic tern,STEPAR,Sterna paradisaea,1,-39.65
43073,86011229,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.7
43074,86011229,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-39.7
43075,86011229,Buller's mollymawk,THABUL,Thalassarche bulleri,1,-39.7
43076,86011229,Salvin's mollymawk,THASAL,Thalassarche salvini,1,-39.7
43077,86011229,Cape petrel,DAPCAP,Daption capense,4,-39.7
43078,86011229,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,2,-39.7
43079,86011229,Sooty shearwater,PUFGRI,Puffinus griseus,2,-39.7
43080,86011230,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.61666666666667
43081,86011230,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.61666666666667
43082,86011230,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.61666666666667
43083,86011230,Cape petrel,DAPCAP,Daption capense,3,-40.61666666666667
43084,86011230,Grey-faced petrel,PTEMACGOU,Pterodroma macroptera  gouldi,1,-40.61666666666667
43085,86011230,Sooty shearwater,PUFGRI,Puffinus griseus,1,-40.61666666666667
43086,86011231,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.63333333333333
43087,86011231,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.63333333333333
43088,86011231,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.63333333333333
43089,86011231,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.63333333333333
43090,86011231,Cape petrel,DAPCAP,Daption capense,7,-40.63333333333333
43091,86011231,Prion ,PACSP,Pachyptila sp,20,-40.63333333333333
43092,86011231,Sooty shearwater,PUFGRI,Puffinus griseus,80,-40.63333333333333
43093,86011232,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.666666666666664
43094,86011232,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.666666666666664
43095,86011232,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.666666666666664
43096,86011232,Cape petrel,DAPCAP,Daption capense,6,-40.666666666666664
43097,86011232,Prion ,PACSP,Pachyptila sp,20,-40.666666666666664
43098,86011232,Sooty shearwater,PUFGRI,Puffinus griseus,8,-40.666666666666664
43099,86011233,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-40.7
43100,86011233,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-40.7
43101,86011233,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.7
